City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,82.13,broken clouds,19.7297,-155.09,
2,Cape Canaveral,US,77.99,clear sky,28.4058,-80.6048,Hilo Hawaiian Hotel
4,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Residence Inn by Marriott Cape Canaveral Cocoa Beach
11,Kupang,ID,84.96,few clouds,-10.1667,123.5833,Cititel Penang
12,Bengkulu,ID,81.5,scattered clouds,-3.8004,102.2655,Hotel On The Rock by Prasanthi
13,Nova Olinda Do Norte,BR,75.13,scattered clouds,-3.8881,-59.0942,Grage Hotel Bengkulu
19,Dhidhdhoo,MV,82.67,broken clouds,6.8833,73.1,Jardim Paiva Hotel
20,Puerto Escondido,MX,77.83,overcast clouds,15.85,-97.0667,Dhidhoo beach
22,Les Cayes,HT,77.83,clear sky,18.2,-73.75,Aldea del Bazar Hotel and Spa
25,Ewo,CG,77.68,broken clouds,-0.8725,14.8206,Villa Orphee
30,Shirokiy,RU,78.39,few clouds,49.758,129.523,Residence Elonda Ewo
34,Vaini,TO,77.16,broken clouds,-21.2,-175.2,
36,Esna,EG,80.62,overcast clouds,25.2934,32.554,Keleti Beach Resort
45,Atuona,PF,77.14,overcast clouds,-9.8,-139.0333,Orient Star Dahabyia Isna 05 Nights Each Sunday
50,Kapaa,US,84.52,light rain,22.0752,-159.319,Villa Enata
51,Uglekamensk,RU,87.82,overcast clouds,43.2172,133.2303,Sheraton Kauai Coconut Beach Resort
59,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,
60,Nishihara,JP,85.68,scattered clouds,26.1842,127.7558,Paradise Inn
61,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Minshuku Agaihama
64,Merauke,ID,82.45,overcast clouds,-8.4667,140.3333,Pension Oaoa
65,High Level,CA,77.11,few clouds,58.5169,-117.136,
69,Labuhan,ID,83.7,scattered clouds,-6.8844,112.2051,Days Inn by Wyndham High Level
70,Saskylakh,RU,83.1,few clouds,71.9167,114.0833,PT PPI Lamongan Tambak C
71,Victoria,HK,82.96,light rain,22.2855,114.1577,
78,Zhanaozen,KZ,75.79,overcast clouds,43.3,52.8,Mini Hotel Central
83,Mareeba,AU,86.32,clear sky,-17.0,145.4333,K.korabay 28A
85,Butaritari,KI,83.7,few clouds,3.0707,172.7902,Trinity Plains Tourist Park
93,Faanui,PF,78.08,light rain,-16.4833,-151.75,Isles Sunset Lodge
94,Khatanga,RU,84.65,clear sky,71.9667,102.5,Bora-Bora Pearl Beach Resort & Spa
96,Sao Raimundo Das Mangabeiras,BR,81.32,broken clouds,-7.0219,-45.4811,"Gostinitsa ""Zapolyar'ye"""
