City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Hilo,19.7297,-155.09,82.13,74,75,9.22,US,2021-07-30 02:23:25,broken clouds
1,Deep River,46.1001,-77.4995,64.15,99,86,4.81,CA,2021-07-30 02:24:10,overcast clouds
2,Cape Canaveral,28.4058,-80.6048,77.99,93,1,4.61,US,2021-07-30 02:24:10,clear sky
3,Albany,42.6001,-73.9662,68.76,94,92,4.68,US,2021-07-30 02:24:10,overcast clouds
4,Georgetown,5.4112,100.3354,82.35,77,20,4.61,MY,2021-07-30 02:21:05,few clouds
5,Bluff,-46.6,168.3333,49.8,74,100,3.71,NZ,2021-07-30 02:24:11,overcast clouds
6,Punta Arenas,-53.15,-70.9167,37.51,87,0,18.41,CL,2021-07-30 02:22:19,clear sky
7,Saint-Philippe,-21.3585,55.7679,67.59,84,96,15.59,RE,2021-07-30 02:24:12,light rain
8,Thompson,55.7435,-97.8558,71.76,53,75,4.61,CA,2021-07-30 02:17:05,broken clouds
9,Rikitea,-23.1203,-134.9692,71.64,76,2,3.53,PF,2021-07-30 02:18:47,clear sky
10,Tiksi,71.6872,128.8694,59.0,42,4,3.49,RU,2021-07-30 02:18:26,clear sky
11,Kupang,-10.1667,123.5833,84.96,57,12,9.82,ID,2021-07-30 02:19:15,few clouds
12,Bengkulu,-3.8004,102.2655,81.5,73,37,5.12,ID,2021-07-30 02:24:13,scattered clouds
13,Nova Olinda Do Norte,-3.8881,-59.0942,75.13,54,27,2.59,BR,2021-07-30 02:24:14,scattered clouds
14,Ushuaia,-54.8,-68.3,42.46,49,0,16.11,AR,2021-07-30 02:18:09,clear sky
15,Shalya,57.2471,58.7298,55.02,96,100,8.39,RU,2021-07-30 02:20:07,overcast clouds
16,Codrington,-38.2667,141.9667,54.32,64,57,26.53,AU,2021-07-30 02:19:52,broken clouds
17,Port Alfred,-33.5906,26.891,54.95,85,20,9.13,ZA,2021-07-30 02:18:57,few clouds
18,Castro,-24.7911,-50.0119,33.82,60,0,2.82,BR,2021-07-30 02:18:32,clear sky
19,Dhidhdhoo,6.8833,73.1,82.67,71,82,10.96,MV,2021-07-30 02:24:16,broken clouds
20,Puerto Escondido,15.85,-97.0667,77.83,73,90,6.91,MX,2021-07-30 02:24:16,overcast clouds
21,Hermanus,-34.4187,19.2345,51.91,81,16,7.29,ZA,2021-07-30 02:20:50,few clouds
22,Les Cayes,18.2,-73.75,77.83,84,1,5.35,HT,2021-07-30 02:24:17,clear sky
23,Bonavista,48.6499,-53.1147,61.12,77,24,13.96,CA,2021-07-30 02:20:05,few clouds
24,Lenine,45.2986,35.7771,74.62,61,0,5.59,UA,2021-07-30 02:24:17,clear sky
25,Ewo,-0.8725,14.8206,77.68,54,52,4.94,CG,2021-07-30 02:24:18,broken clouds
26,Cascais,38.6979,-9.4215,65.46,75,0,15.99,PT,2021-07-30 02:24:18,clear sky
27,Yeppoon,-23.1333,150.7333,74.98,46,0,11.68,AU,2021-07-30 02:21:31,clear sky
28,Busselton,-33.65,115.3333,53.04,72,92,27.04,AU,2021-07-30 02:18:41,overcast clouds
29,Klaksvik,62.2266,-6.589,50.92,89,100,16.84,FO,2021-07-30 02:24:19,overcast clouds
30,Shirokiy,49.758,129.523,78.39,71,24,8.08,RU,2021-07-30 02:24:19,few clouds
31,Hobart,-42.8794,147.3294,58.05,54,75,4.0,AU,2021-07-30 02:18:39,broken clouds
