City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sao Filipe,14.8961,-24.4956,74.17,80,11,8.79,CV,2021-07-28 01:45:01
1,Lebu,-37.6167,-73.65,45.86,80,0,21.88,CL,2021-07-28 01:45:04
2,Ati,13.2154,18.3353,74.5,87,100,7.81,TD,2021-07-28 01:45:04
3,Takaka,-40.85,172.8,60.39,59,57,0.74,NZ,2021-07-28 01:45:05
4,Punta Arenas,-53.15,-70.9167,44.71,81,75,23.02,CL,2021-07-28 01:43:22
5,Provideniya,64.3833,-173.3,50.11,81,90,8.95,RU,2021-07-28 01:45:06
6,Hobart,-42.8794,147.3294,57.25,64,90,4.0,AU,2021-07-28 01:42:36
7,Albany,42.6001,-73.9662,67.75,92,100,2.04,US,2021-07-28 01:45:06
8,Kaitangata,-46.2817,169.8464,54.93,51,92,1.28,NZ,2021-07-28 01:45:07
9,East London,-33.0153,27.9116,64.8,78,1,14.7,ZA,2021-07-28 01:45:07
10,San Quintin,30.4833,-115.95,71.11,80,1,13.44,MX,2021-07-28 01:45:08
11,Verkh-Suetka,53.3,80.05,61.97,54,100,3.11,RU,2021-07-28 01:45:08
12,Ushuaia,-54.8,-68.3,37.06,100,90,4.61,AR,2021-07-28 01:41:45
13,Beringovskiy,63.05,179.3167,48.72,87,100,14.18,RU,2021-07-28 01:45:08
14,Kahului,20.8947,-156.47,87.82,74,40,25.32,US,2021-07-28 01:45:09
15,Rikitea,-23.1203,-134.9692,74.03,78,100,15.28,PF,2021-07-28 01:45:09
16,Marawi,7.9986,124.2928,81.64,55,88,7.92,PH,2021-07-28 01:45:09
17,Touros,-5.1989,-35.4608,74.3,89,14,10.58,BR,2021-07-28 01:45:10
18,Saint-Philippe,-21.3585,55.7679,67.59,86,99,12.75,RE,2021-07-28 01:45:10
19,Mogadishu,2.0371,45.3438,76.51,82,89,20.49,SO,2021-07-28 01:45:10
20,Barrow,71.2906,-156.7887,42.82,87,90,19.57,US,2021-07-28 01:45:11
21,Castro,-24.7911,-50.0119,47.17,91,100,6.89,BR,2021-07-28 01:45:11
22,Torit,4.4133,32.5678,67.93,96,76,1.81,SS,2021-07-28 01:45:11
23,Puerto El Triunfo,13.2833,-88.55,85.12,93,100,5.32,SV,2021-07-28 01:45:12
24,Cayenne,4.9333,-52.3333,82.09,82,6,7.0,GF,2021-07-28 01:45:12
25,Vaini,-21.2,-175.2,69.96,83,75,8.05,TO,2021-07-28 01:43:51
26,Jamestown,42.097,-79.2353,72.72,78,1,5.12,US,2021-07-28 01:45:13
27,Toila,59.4236,27.5025,65.32,84,100,6.93,EE,2021-07-28 01:45:13
28,Yellowknife,62.456,-114.3525,62.33,44,40,1.99,CA,2021-07-28 01:45:13
29,Matay,28.419,30.7792,77.86,52,0,14.03,EG,2021-07-28 01:45:13
30,Karratha,-20.7377,116.8463,74.97,51,7,5.95,AU,2021-07-28 01:45:14
31,Bredasdorp,-34.5322,20.0403,54.72,67,100,6.91,ZA,2021-07-28 01:45:14
32,Mokhsogollokh,61.4681,128.9203,73.06,39,12,6.78,RU,2021-07-28 01:45:15
33,Saldanha,-33.0117,17.9442,53.65,67,100,5.82,ZA,2021-07-28 01:45:15
34,Arraial Do Cabo,-22.9661,-42.0278,70.61,83,0,22.39,BR,2021-07-28 01:45:16
35,Zamora,-4.0692,-78.9567,66.11,96,65,1.03,EC,2021-07-28 01:45:16
36,Port Alfred,-33.5906,26.891,60.94,85,16,15.01,ZA,2021-07-28 01:45:16
37,Victoria,22.2855,114.1577,92.97,85,99,1.01,HK,2021-07-28 01:45:01
38,Roma,43.2128,-75.4557,68.5,96,54,3.76,US,2021-07-28 01:45:17
39,Salinopolis,-0.6136,-47.3561,78.94,81,91,10.09,BR,2021-07-28 01:45:17
40,New Norfolk,-42.7826,147.0587,56.91,65,52,5.01,AU,2021-07-28 01:45:17
41,Sao Joao Do Piaui,-8.3581,-42.2467,73.9,54,0,5.21,BR,2021-07-28 01:45:18
42,Hilo,19.7297,-155.09,80.33,83,90,8.05,US,2021-07-28 01:42:04
43,Jiazi,22.8779,116.067,89.19,70,63,11.95,CN,2021-07-28 01:45:19
44,Ipoti,7.8738,5.0769,66.4,96,100,5.01,NG,2021-07-28 01:45:19
45,Teknaf,20.8624,92.3058,80.98,88,100,13.85,BD,2021-07-28 01:45:19
46,Pevek,69.7008,170.3133,37.18,89,98,8.43,RU,2021-07-28 01:45:20
47,Khatanga,71.9667,102.5,83.93,42,8,18.84,RU,2021-07-28 01:45:20
48,Mataura,-46.1927,168.8643,52.48,74,68,1.28,NZ,2021-07-28 01:45:21
49,Lompoc,34.6391,-120.4579,78.57,78,90,11.5,US,2021-07-28 01:42:52
50,Bluff,-46.6,168.3333,52.81,70,33,9.26,NZ,2021-07-28 01:45:22
51,Kruisfontein,-34.0033,24.7314,54.88,84,35,14.23,ZA,2021-07-28 01:45:22
52,Lorengau,-2.0226,147.2712,84.11,74,4,6.15,PG,2021-07-28 01:45:23
53,Nanortalik,60.1432,-45.2371,44.65,83,100,5.3,GL,2021-07-28 01:45:23
54,Tasiilaq,65.6145,-37.6368,39.36,80,22,7.16,GL,2021-07-28 01:45:23
55,Richards Bay,-28.783,32.0377,60.55,69,0,14.58,ZA,2021-07-28 01:45:24
56,Homer,59.6425,-151.5483,70.09,71,40,16.11,US,2021-07-28 01:45:24
57,Cape Town,-33.9258,18.4232,52.12,92,20,1.99,ZA,2021-07-28 01:45:24
58,San Felipe,10.3399,-68.7425,72.75,99,80,3.0,VE,2021-07-28 01:45:25
59,Mahebourg,-20.4081,57.7,67.24,94,75,17.27,MU,2021-07-28 01:45:25
60,Middleton,53.55,-2.2,60.98,97,100,4.68,GB,2021-07-28 01:45:25
61,Mehran,33.1222,46.1646,92.68,18,0,17.67,IR,2021-07-28 01:45:26
62,Cefalu,38.0386,14.0229,83.41,61,0,1.23,IT,2021-07-28 01:45:26
63,Dikson,73.5069,80.5464,37.53,99,100,12.95,RU,2021-07-28 01:45:26
64,Atuona,-9.8,-139.0333,78.01,68,0,17.72,PF,2021-07-28 01:45:27
65,Busselton,-33.65,115.3333,55.04,67,65,16.64,AU,2021-07-28 01:40:31
66,Punta De Bombon,-17.1717,-71.7931,59.92,83,85,6.38,PE,2021-07-28 01:45:28
67,Metu,8.3,35.5833,56.68,98,100,1.9,ET,2021-07-28 01:45:28
68,Khandyga,62.6667,135.6,69.87,39,63,12.71,RU,2021-07-28 01:45:28
69,Grindavik,63.8424,-22.4338,51.57,87,0,16.11,IS,2021-07-28 01:45:29
70,Bengkulu,-3.8004,102.2655,80.24,67,68,3.56,ID,2021-07-28 01:45:29
71,Kisesa,-3.0833,34.15,62.38,54,71,7.96,TZ,2021-07-28 01:45:30
72,Hermanus,-34.4187,19.2345,51.91,68,99,13.33,ZA,2021-07-28 01:45:30
73,Bandundu,-3.3167,17.3667,68.32,31,1,3.78,CD,2021-07-28 01:45:30
74,Nalut,30.3333,10.85,78.51,32,0,15.32,LY,2021-07-28 01:45:31
75,Banda Aceh,5.5577,95.3222,84.16,70,63,13.35,ID,2021-07-28 01:45:31
76,Kodiak,57.79,-152.4072,62.11,55,90,4.61,US,2021-07-28 01:45:31
77,Puerto Ayora,-0.7393,-90.3518,71.49,84,20,9.24,EC,2021-07-28 01:45:32
78,Vagur,61.4732,-6.8119,51.53,93,100,8.79,FO,2021-07-28 01:45:32
79,Atotonilco El Grande,20.2833,-98.6667,57.67,92,60,4.7,MX,2021-07-28 01:45:32
80,Airai,-8.9266,125.4092,74.14,34,91,4.61,TL,2021-07-28 01:45:33
81,Nauta,-4.5061,-73.5757,75.6,85,100,2.64,PE,2021-07-28 01:45:33
82,Celestun,20.8667,-90.4,81.52,80,40,9.84,MX,2021-07-28 01:45:34
83,Katsuura,35.1333,140.3,86.11,77,100,19.69,JP,2021-07-28 01:45:34
84,Cabo San Lucas,22.8909,-109.9124,91.81,64,1,8.99,MX,2021-07-28 01:43:35
85,Jinxiang,27.4327,120.6062,85.48,83,67,8.23,CN,2021-07-28 01:45:35
86,Aksay,47.26,39.87,61.02,62,0,6.42,RU,2021-07-28 01:45:35
87,Tamala,52.541,43.2515,64.69,68,80,4.05,RU,2021-07-28 01:45:35
88,Xining,36.6167,101.7667,62.29,52,48,3.4,CN,2021-07-28 01:45:36
89,Logansport,40.7545,-86.3567,78.71,87,1,0.0,US,2021-07-28 01:45:36
90,Saskylakh,71.9167,114.0833,64.78,42,20,19.73,RU,2021-07-28 01:45:36
91,Dalhousie,32.5333,75.9833,62.13,99,100,1.5,IN,2021-07-28 01:45:37
92,Bethel,41.3712,-73.414,77.58,82,90,4.61,US,2021-07-28 01:44:15
93,Sisimiut,66.9395,-53.6735,50.97,69,78,4.09,GL,2021-07-28 01:45:37
94,Dunmore,41.4198,-75.6324,67.51,94,75,4.61,US,2021-07-28 01:45:38
95,Berlevag,70.8578,29.0864,46.31,88,100,5.55,NO,2021-07-28 01:45:38
96,Avarua,-21.2078,-159.775,77.05,65,30,6.91,CK,2021-07-28 01:45:38
97,Coihaique,-45.5752,-72.0662,37.35,81,0,4.61,CL,2021-07-28 01:45:39
98,Eyl,7.9803,49.8164,78.48,58,100,18.63,SO,2021-07-28 01:45:39
99,Ixtapa,20.7,-105.2,87.03,74,20,5.75,MX,2021-07-28 01:45:40
100,Amapa,1.0,-52.0,70.99,98,6,2.55,BR,2021-07-28 01:45:40
101,Portobelo,9.55,-79.65,80.62,85,63,5.35,PA,2021-07-28 01:45:40
102,Sept-Iles,50.2001,-66.3821,61.05,73,75,5.99,CA,2021-07-28 01:45:41
103,Tuktoyaktuk,69.4541,-133.0374,53.6,66,75,8.05,CA,2021-07-28 01:45:41
104,Pascagoula,30.3658,-88.5561,87.06,82,1,0.0,US,2021-07-28 01:45:41
105,Plettenberg Bay,-34.0527,23.3716,56.1,82,100,11.36,ZA,2021-07-28 01:45:42
106,Ribeira Grande,38.5167,-28.7,72.03,85,52,9.28,PT,2021-07-28 01:45:42
107,Santa Cruz,-17.8,-63.1667,62.06,29,90,17.27,BO,2021-07-28 01:43:44
108,Ancud,-41.8697,-73.8203,42.33,86,70,3.29,CL,2021-07-28 01:45:42
109,Bathsheba,13.2167,-59.5167,81.21,78,20,16.11,BB,2021-07-28 01:45:43
110,Baruun-Urt,46.6806,113.2792,77.45,42,21,10.96,MN,2021-07-28 01:45:43
111,Chuy,-33.6971,-53.4616,42.22,70,29,16.02,UY,2021-07-28 01:45:43
112,Fort Nelson,58.8053,-122.7002,65.79,59,75,16.11,CA,2021-07-28 01:45:06
113,Clyde River,70.4692,-68.5914,46.63,81,90,8.05,CA,2021-07-28 01:40:59
114,Cap Malheureux,-19.9842,57.6142,67.46,91,100,7.0,MU,2021-07-28 01:45:44
115,Bardiyah,31.7561,25.0865,77.45,66,0,7.49,LY,2021-07-28 01:45:45
116,Nyimba,-14.5566,30.8149,54.93,70,99,2.86,ZM,2021-07-28 01:45:46
117,Presidente Epitacio,-21.7633,-52.1156,56.62,57,63,13.13,BR,2021-07-28 01:45:46
118,Grafton,42.207,-71.6856,67.98,95,75,6.91,US,2021-07-28 01:45:46
119,Mount Gambier,-37.8333,140.7667,46.31,93,75,14.97,AU,2021-07-28 01:45:47
120,Kaitong,44.8135,123.15,82.9,55,100,4.43,CN,2021-07-28 01:45:47
121,Kapaa,22.0752,-159.319,84.18,76,90,4.0,US,2021-07-28 01:45:47
122,Mangrol,21.1167,70.1167,82.06,84,100,20.92,IN,2021-07-28 01:45:48
123,Marystown,47.1666,-55.1483,63.86,100,100,11.01,CA,2021-07-28 01:45:48
124,Cherskiy,68.75,161.3,38.97,73,100,19.6,RU,2021-07-28 01:45:48
125,Ponta Do Sol,32.6667,-17.1,72.23,79,4,4.88,PT,2021-07-28 01:45:49
126,Lagoa,39.05,-27.9833,70.02,90,99,7.9,PT,2021-07-28 01:45:49
127,Chokurdakh,70.6333,147.9167,49.71,46,70,13.6,RU,2021-07-28 01:45:49
128,Rudbar,30.15,62.6,86.47,14,100,20.98,AF,2021-07-28 01:45:50
129,Pozo Colorado,-23.4923,-58.7972,47.08,33,0,6.06,PY,2021-07-28 01:45:50
130,Neuquen,-38.9516,-68.0591,40.89,60,0,0.0,AR,2021-07-28 01:45:50
131,Concarneau,47.875,-3.9225,61.57,91,5,10.11,FR,2021-07-28 01:45:51
132,Qaanaaq,77.484,-69.3632,42.04,92,96,6.15,GL,2021-07-28 01:45:51
133,Sambava,-14.2667,50.1667,65.91,85,5,10.65,MG,2021-07-28 01:45:51
134,Bambous Virieux,-20.3428,57.7575,67.21,94,75,17.27,MU,2021-07-28 01:41:35
135,Simbahan,6.3032,120.5836,84.06,78,67,14.67,PH,2021-07-28 01:45:52
136,Inhambane,-23.865,35.3833,64.4,64,0,6.71,MZ,2021-07-28 01:45:52
137,Venado Tuerto,-33.7456,-61.9688,37.69,59,9,9.17,AR,2021-07-28 01:45:53
138,Haines Junction,60.7522,-137.5108,64.35,55,43,8.05,CA,2021-07-28 01:45:53
139,Poltavka,54.3663,71.7632,62.64,59,51,8.39,RU,2021-07-28 01:45:54
140,Yulara,-25.2406,130.9889,67.84,42,90,8.05,AU,2021-07-28 01:45:54
141,Georgetown,5.4112,100.3354,84.88,80,20,3.0,MY,2021-07-28 01:45:54
142,Sakakah,29.9697,40.2064,87.37,26,0,6.31,SA,2021-07-28 01:45:55
143,Padang,-0.9492,100.3543,81.77,78,88,1.45,ID,2021-07-28 01:45:55
144,Pustoshka,56.3355,29.369,61.32,98,100,6.33,RU,2021-07-28 01:45:55
145,Tinskoy,56.1525,96.9161,58.66,98,100,6.26,RU,2021-07-28 01:45:55
146,Sola,-13.8833,167.55,79.43,79,37,22.7,VU,2021-07-28 01:45:56
147,Tual,-5.6667,132.75,80.74,82,99,15.57,ID,2021-07-28 01:45:56
148,Vardo,70.3705,31.1107,46.6,87,97,14.9,NO,2021-07-28 01:45:57
149,Parrita,9.5201,-84.3225,79.52,88,99,4.05,CR,2021-07-28 01:45:57
150,Souillac,-20.5167,57.5167,67.35,94,75,17.27,MU,2021-07-28 01:45:57
151,Camana,-16.6228,-72.7111,59.99,87,82,8.37,PE,2021-07-28 01:45:58
152,Alta Floresta,-9.8756,-56.0861,73.53,42,4,3.47,BR,2021-07-28 01:45:58
153,Port Elizabeth,-33.918,25.5701,57.49,82,0,11.5,ZA,2021-07-28 01:43:46
154,Bacolod,10.6667,122.95,84.78,76,94,19.04,PH,2021-07-28 01:45:59
155,Dali,25.7,100.1833,70.02,81,77,0.81,CN,2021-07-28 01:41:29
156,Goderich,43.7501,-81.7165,68.92,83,0,0.0,CA,2021-07-28 01:45:05
157,Iskateley,67.6803,53.1512,44.62,87,100,9.84,RU,2021-07-28 01:45:59
158,Margate,51.3813,1.3862,63.91,86,99,3.0,GB,2021-07-28 01:46:00
159,Dombarovskiy,50.7587,59.5386,64.53,48,60,5.32,RU,2021-07-28 01:46:00
160,Sarangani,5.4033,125.4636,84.15,73,58,6.58,PH,2021-07-28 01:46:00
